tokens,examples
"('on to', 'preposition')",My cat just jumped on to the keyboard.
"('gope', 'verb')",gope
"('contribution', 'noun')",contribution
"('floyds', 'None')",floyds
"('£2,000', 'noun')","£2,000"
"('dreaded', 'adjective')",I have got the dreaded flu.
"('perfection', 'noun')",We seek complete perfection.
"('pinky-brown', 'noun')",pinky-brown
"('oct', 'None')",oct
"('ready-made', 'adjective')","Incidentally, they became mindful of the meaning of thrift and waste and learned to practice an economy of material and operations which was not elicited in the play with the more ready-made educational material."
"('insight', 'noun')","The history of our study of our solar system shows us clearly that accepted and conventional ideas are often wrong, and that fundamental insights can arise from the most unexpected sources."
"('5559', 'None')",5559
"('everybody', 'None')",everybody
"('buyer', 'noun')","Every person who steps through the door is a potential buyer, so acknowledge their presence."
"('eternity', 'noun')","Eternity has generally been considered as divisible into two parts; which have been termed, eternity a parte ante, and eternity a parte post: that is, in plain English, that eternity which is past, and that eternity which is to come."
"('sounness', 'None')",sounness
"('unharmed', 'adjective')",unharmed
"('lords', 'noun')",lords
"('save', 'verb')",She was saved from drowning by a passer-by.
"('de', 'None')",de
"('detailed', 'adjective')",detailed
"('wildebeest', 'noun')",Coordinate term: hartebeest
"('wrap', 'noun')","‘I see you have had our Lowick Cicero here,’ she said, seating herself comfortably, throwing back her wraps, and showing a thin but well-built figure."
"('red-tiled', 'adjective')",red-tiled
"('knowingly', 'adverb')","She smiled knowingly, but kept the secret."
"('undemocratic', 'adjective')",undemocratic
"('force', 'verb')",For yf ye were suche fyfty as ye be / ye were not able to make resystence ageynst this deuyl / here lyeth a duchesse deede the whiche was the fayrest of alle the world wyf to syre Howel / duc of Bretayne / he hath murthred her in forcynge her / and has slytte her vnto the nauyl
"('holding', 'adjective')",holding
"('tawdriness', 'noun')",tawdriness
"('overflow', 'noun')",overflow
"('command', 'noun')",I was given a command to cease shooting.
"('screen', 'verb')",Mary screened the beans to remove the clumps of gravel.
"('meek', 'adjective')",Blessed are the meeke: for they shall inherit the earth.
"('comfort', 'noun')",Sleep in comfort with our new mattress.
"('electricity', 'noun')","Again, the concretion of Ice will not endure a dry attrition without liquation ; for if it be rubbed long with a cloth, it melteth. But Cryſtal will calefie unto electricity ; that is, a power to attract ſtraws or light bodies, and convert the needle freely placed."
"('invasion', 'noun')","Yeh actually works in marketing, and his weapon is a replica -- but he is spending the weekend attending an urban warfare workshop to prepare for what he sees as the very real threat of a Chinese invasion."
"('diminished', 'adjective')",The diminished Roman Empire never recovered from the sack of Rome.
"('devotee', 'noun')",Synonyms: see Thesaurus:enthusiast
"('binding', 'adjective')",This contract is a legally binding agreement.
"('riddle', 'verb')",Riddle me this.
"('grumble', 'verb')",The distant thunder grumbles.
"('gratefully', 'adverb')","A waiter brought his aperitif, which was a small scotch and soda, and as he sipped it gratefully he sighed.    ‘Civilized,’ he said to Mr. Campion. ‘Humanizing.’ […] ‘Cigars and summer days and women in big hats with swansdown face-powder, that's what it reminds me of.’"
"('64th-minute', 'adjective')",64th-minute
"('defeat', 'noun')","Licking their wounds after a temporary defeat, they planned their next move."
"('polychlorinated', 'adjective')",polychlorinated
"('final', 'noun')",final
"('romanesque', 'adjective')",romanesque
"('universally', 'adverb')","My experience of the people was that they were universally polite, civil, and clean, and during the whole time I spent in the country, I only saw one drunken man."
"('harmonize', 'verb')",harmonize
"('stock', 'noun')",We have a stock of televisions on hand.
"('5358', 'None')",5358
"('management-union', 'adjective')",management-union
"('friend', 'noun')",The only reward of virtue is virtue; the only way to have a friend is to be one.
"('formally', 'adverb')",He was dressed too formally for the occasion.
"('1934', 'None')",1934
"('blunt', 'verb')",It blunted my appetite.
"('defensive', 'adjective')",a defensive perimeter
"('arc/info', 'noun')",arc/info
"('scribble', 'verb')","I suddenly remembered I needed to buy bleach, so scribbled it down on my shopping list."
"('midlands', 'None')",midlands
"('nose-job', 'noun')","I happen to believe that each of us has the right to find enjoyment, as long as we do not harm anyone else. If a nose-job will do it, why not?"
"('1/50', 'None')",1/50
"('sixpenny-sized', 'adjective')",sixpenny-sized
"('involved', 'adjective')",He related an involved story about every ancestor since 1895.
"('wild', 'adverb')","The javelin flew wild and struck a spectator, to the horror of all observing."
"('rice', 'noun')","Rice is a tropical plant; yet Carolina and Georgia grow the finest in the world; heavier grained, better filled, and more merchantable, than any imported into Europe from the Indies."
"('not', 'None')",not
"('expand', 'verb')",You can expand this compact umbrella to cover a large table.
"('regime', 'noun')",a prison regime
"('2,764.44', 'None')","2,764.44"
"('ooh', 'None')",ooh
"('anti-travail', 'noun')",anti-travail
"('migrant', 'noun')","“But once you lose everything— your home, your school, your clinic, your road, your church—then it’s an impossible situation. You become an environmental migrant because you have to find those facilities in some other place.”"
"('yielding', 'adjective')",yielding
"('leafy', 'adjective')",leafy trees
"('headmistress', 'noun')",headmistress
"('southampton', 'None')",southampton
"('search', 'verb')",I searched the garden for the keys and found them in the vegetable patch.
"('claret', 'noun')",Synonym:  traditional dry red
"('venison', 'noun')","After shooting a deer, field dressing is the next step necessary for high quality venison."
"('fema', 'None')",fema
"('scandalise', 'verb')","He never greatly cared for the society of what are called good people. If any of these were scandalised , he could not help it."
"('arouse', 'verb')","to arouse compassion, jealousy, or anger"
"('quasi-governmental', 'adjective')",quasi-governmental
"('ha', 'None')",ha
"('intermingle', 'verb')",intermingle
"('dash', 'noun')",When the feds came they did the dash.
"('1936', 'None')",1936
"('non-fine', 'adjective')",non-fine
"('dangerous', 'adjective')",Railway crossings without gates are highly dangerous.
"('diffident', 'adjective')","Synonyms: timid, modest"
"('210.2', 'None')",210.2
"('depression', 'noun')","I used to suffer from depression, but now I'm mostly content with my life."
"('all-green', 'adjective')",all-green
"('logistic', 'adjective')","If we compare the calculus of a triangle, by the logistic logarithms …"
"('corine', 'adjective')",corine
"('remark', 'verb')","""Did you ever remark that door?"" he asked; and when his companion had replied in the affirmative, ""It is connected in my mind,"" added he, ""with a very odd story."""
"('elaborate', 'adjective')","After reading a long, elaborate description, I was impressed but no wiser."
"('unconcerned', 'adjective')","[N]o attempt is made to call in God to their reſcue, as if he vvere an idle unconcern'd ſpectator of humane affairs, or ſo inconſiderable an ally, as not to be vvorth the care of engaging him on their ſide."
"('fluid', 'adjective')","Economics is a messy discipline: too fluid to be a science, too rigorous to be an art. Perhaps it is fitting that economists’ most-used metric, gross domestic product , is a tangle too. GDP measures the total value of output in an economic territory. Its apparent simplicity explains why it is scrutinised down to tenths of a percentage point every month."
"('jesuit', 'adjective')",jesuit
"('unfairly', 'adverb')","The carnival games were unfairly difficult, and hardly anybody won a prize."
"('understated', 'adjective')","In contrast to the ETR220's understated green and grey livery, the Swedish train's livery is startling ""Paprika"" red with white stripes."
"('compositionally', 'adverb')",The two minerals are compositionally distinct.
"('justice', 'noun')",the justice of a description
"('junior', 'noun')",four years his junior
"('pett', 'noun')",pett
"('raft', 'noun')",An inflatable raft. A log raft.
"('lengai', 'None')",lengai
"('pork', 'noun')","Synonyms: pigmeat, swineflesh, the other white meat"
"('spectacle', 'noun')",The horse race was a thrilling spectacle.
"('behave', 'verb')","You need to behave yourself, young lady."
"('methodological', 'adjective')",No single study will ever be able to overcome any and all methodological limitations.
"('frenchwoman', 'noun')",frenchwoman
"('beryl', 'None')",beryl
"('commander', 'noun')","Shepard: I don't take orders from you anymore, remember?Anderson: Consider yourself reinstated... Commander."
"('draft', 'verb')",He was drafted during the Vietnam War.
"('48p', 'noun')",48p
"('tire', 'verb')","As Moldova understandably tired after a night of ball chasing, Everton left-back Baines scored his first international goal as his deflected free-kick totally wrong-footed Namasco."
"('smart', 'adjective')","Synonyms: bright, capable, sophisticated, witty"
"('entertainment', 'noun')","The delinquents are generally the adventurous type, who have little use for reading and other non-active entertainment."
"('closure', 'noun')","The closure  of a subset A of a topological space 






{\displaystyle }
 is the intersection of the members of the family of all closed sets containing A. […]"
"('flotation', 'noun')",flotation
"('mayfair', 'None')",mayfair
"('talking', 'noun')","It was a joy to snatch some brief respite, and find himself in the rectory drawing–room. Listening here was as pleasant as talking; just to watch was pleasant."
"('praxis', 'noun')",praxis
"('greeting', 'noun')","It's polite to begin a letter with a greeting, but this practice is less common in email."
"('senseless', 'adjective')","That hoary man had spent his livelong ageIn converse with the dead, who leave the stampOf ever-burning thoughts on many a page,When they are gone into the senseless dampOf graves;  […]"
"('tear', 'noun')","A small tear is easy to mend, if it is on the seam."
"('lastly', 'adverb')","Firstly, that's illegal; secondly, it has serious disadvantages; thirdly, it's not necessary; and lastly, did I mention that it's illegal?"
"('fourteenth', 'None')",fourteenth
"('prior', 'adjective')",I had no prior knowledge you were coming.
"('never-ending', 'adjective')","The story of upkeep has been never-ending. Between 1997-2000, a major programme of maintenance entailed replacing superstructure timbers - 50 main rail beams were replaced with greenheart, along with a similar number of edge beams."
"('famine', 'noun')","It was reserved for Christians to torture bread, the staff of life, bread for which children in whole districts wail, bread, the gift of pasture to the poor, bread, for want of which thousands of our fellow beings annually perish by famine; it was reserved for Christians to torture the material of bread by fire, to create a chemical and maddening poison, burning up the brain and brutalizing the soul, and producing evils to humanity, in comparison of which, war, pestilence, and famine, cease to be evils."
"('rosenberg', 'None')",rosenberg
"('one-to-one', 'adjective')",There is a one-to-one relationship between days with large cash shortages and his workdays.
"('ian', 'None')",ian
"('3.2', 'None')",3.2
"('preceding', 'adjective')",On the preceding Monday Shobana had gone on vacation.
"('banality', 'noun')",Synonym:  bathos
"('obstinacy', 'noun')",He finished only through a mixture of determined obstinacy and ingenuity.
"('freeman', 'None')",freeman
"('systematically', 'adverb')",Taxonomy seeks to systematically name all living organisms; each species has one name and everyone can figure out what that name is.
"('heap', 'noun')","A Heap of Vassals, and Slaues:  […]  A People that is without Naturall Affection,  […]  A Nation without Morality, without Letters, Arts, or Sciences"
"('aunt', 'None')",aunt
"('cyst', 'noun')","cystectomy, cystitis, cystoscopy"
"('equivalent', 'adjective')","To burn calories, a thirty-minute jog is equivalent to a couple of hamburgers."
"('leaded', 'adjective')",Leaded gasoline is hard to find in some areas now.
"('7.2', 'None')",7.2
"('emergency', 'noun')",Cardiac arrest is an emergency and if you find someone in cardiac arrest you should call 999 immediately.
"('presumably', 'adverb')","Synonyms: presumptively, presumedly"
"('peer', 'verb')","[…]  I should be stillPlucking the grass, to know where sits the wind,Peering in maps for ports, and piers, and roads;"
"('tho', 'None')",tho
"('damn', 'adjective')",Shut the damn door!
"('supervision', 'noun')",Under his parents' supervision he drilled the holes in the wood.
"('tt', 'None')",tt
"('record', 'verb')","I wanted to record every detail of what happened, for the benefit of future generations."
"('oth', 'None')",oth
"('profligacy', 'noun')","No question has arisen within the records of history that pressed with the importance of the present. […] whether man shall inherit his rights, and universal civilisation take place? Whether the fruits of his labours shall be enjoyed by himself or consumed by the profligacy of governments?"
"('tread', 'verb')",He trod back and forth wearily.
"('cabbage', 'noun')",Cabbage is good for you.
"('camel', 'noun')","Synonym: , Australia, colloquial) oont"
"('six-figure', 'adjective')",six-figure
"('persuaders', 'None')",persuaders
"('edgware', 'None')",edgware
"('intrude', 'verb')",to intrude on families at unseasonable hours; to intrude on the lands of another
"('sparrer', 'noun')",sparrer
"('orleans', 'None')",orleans
"('1986', 'None')",1986
"('honey', 'noun')",The honey in the pot should last for years.
"('siltstone', 'noun')",siltstone
"('overrule', 'verb')",His passion and animosity overruled his conscience.
"('canon', 'noun')",The trial must proceed according to the canons of law.
"('asset', 'noun')","My assets consist of stocks in companies that pay a dividend, and a few apartments that pay me rental income."
"('sensitivity', 'noun')","In any event, the incident, and the media attention it attracted, highlights the sensitivity of language politics in Singapore and is reflective of the fact that this sensitivity extends to campus life."
"('apple', 'noun')",I prayed pieres to pulle adown an apple.
"('fill', 'verb')","[…] the drums began to thunder, the sound of trumpets filled the air, the earth trembled beneath their feet, and the hearts of the gazing multitude throbbed with suspense and expectation […]"
"('beloved', 'adjective')",Antonym: beloathed
"('brussels', 'None')",brussels
"('aboard', 'preposition')","Conditions were horrendous aboard most British naval vessels at the time. Scurvy and other diseases ran rampant, killing more seamen each year than all other causes combined, including combat."
"('stately', 'adjective')","Warwick's first glance had revealed the fact that the young woman was strikingly handsome, with a stately beauty seldom encountered."
"('1912', 'None')",1912
"('emma', 'None')",emma
"('0272', 'None')",0272
"('throughput', 'noun')",The factory managed a throughput of 120 units per hour.
"('entrance', 'noun')",Her entrance attracted no attention whatsoever.
"('£4', 'noun')",£4
"('photographic', 'adjective')",This shop stocks all the latest photographic equipment.
"('bobsleigh', 'noun')",bobsleigh
"('but', 'preposition')","Synonyms: barring, except for, save for; see also Thesaurus:except"
"('surveillance', 'noun')","Lady Anne appeared in a week or two to have greatly recovered her appetite, and she talked much of the benefit derived from her native air, in order to gain which, she constantly drove out in Lord Rotheles's carriages, and appeared to derive comfort from her admiration of his beautiful bays; beyond this Helen could not perceive that her airings were useful, as her cough increased exceedingly, and all the visitants at the castle expressed surprise ""that she did not place herself under the surveillance of one or other of the great physicians of the metropolis."""
"('livingstone', 'None')",livingstone
"('cou', 'None')",cou
"('manicure', 'noun')",manicure
"('subdue', 'verb')","And when their ſcattered armie is ſubdu’d:And you march on their ſlaughtered carkaſſes,Share equally the gold that bought their liues,And liue like Gentlmen in Perſea,  […]"
"('political', 'adjective')","Political principles are rarely absolute, as political logic holds an imperfect result by compromise is better than a theoretically perfect abstention from the political process in the opposition."
"('laura', 'None')",laura
"('ok', 'adverb')",ok
"('shelter', 'noun')","The detective kept them in view. He made his way casually along the inside of the shelter until he reached an open scuttle close to where the two men were standing talking. Eavesdropping was not a thing Larard would have practised from choice, but there were times when, in the public interest, he had to do it, and this was one of them."
"('official', 'adjective')",official duties
"('tour', 'noun')",On our last holiday to Spain we took a tour of the wine-growing regions.
"('park', 'None')",park
"('intake', 'noun')",the intake of air
"('absolutely', 'adverb')",absolutely
"('you', 'None')",you
"('weak', 'adjective')",The child was too weak to move the boulder.
"('£12000', 'noun')",£12000
"('addiction', 'noun')",Do your lethal addictions to self-prescriptions numb the ache of the darkest days?
"('sentiment', 'noun')",The sentiment emerged that we were acting too soon.
"('1888', 'None')",1888
"('loughborough', 'None')",loughborough
"('paintwork', 'noun')","The interior colour scheme departs from the conventional L.T. red and green upholstery and matching paintwork, which has been replaced by a maroon and grey moquette with dove grey paint below the waist rail."
"('jointly', 'adverb')","They jointly raised the child, even though they were no longer married."
"('frequently', 'adverb')","As we age, the major arteries of our bodies frequently become thickened with plaque, a fatty material with an oatmeal-like consistency that builds up along the inner lining of blood vessels. The reason plaque forms isn’t entirely known, but it seems to be related to high levels of cholesterol inducing an inflammatory response, which can also attract and trap more cellular debris over time."
"('theatrical', 'adjective')","The matter of whether the world needs a fourth Ice Age movie pales beside the question of why there were three before it, but Continental Drift feels less like an extension of a theatrical franchise than an episode of a middling TV cartoon, lolling around on territory that’s already been settled."
"('mayhew', 'None')",mayhew
"('mess', 'noun')","No, look, I know that the place looks like a bit of a mess but it's actually a very delicate ecosystem. Everything is connected. It's like the rainforest. You change one thing, even the tiniest bit, and the whooole rainforest dies. You don't want the rainforest to die, do ya?"
"('saint', 'noun')",Kateri Tekakwitha was proclaimed a saint.
"('eva', 'None')",eva
"('1988a', 'None')",1988a
"('hooh', 'None')",hooh
"('grizzled', 'adjective')",grizzled
"('structural', 'adjective')","Class 1. consists of nervous diseases, such as depend on the nervous and muscular systems; the second, of sanguine diseases, such as depend on the sanguiferous system; the third, of secretory diseases, or such as are connected with the state of the secretions; and the fourth, of structural diseases, or those that are connected with the nutritive powers."
"('potato', 'noun')",Potatoes were introduced to Ireland in 1590 after being brought to Europe by Spanish conquistadores from their place of origin in the South American Andes.
"('poltergeist', 'noun')","A poltergeist haunts the house by moving objects around, making chain-rattling noises and throwing things."
"('off-site', 'adjective')",off-site
"('unity', 'noun')","If any literary work is too long to be read at one sitting, we must be content to dispense with the immensely important effect derivable from unity of impression - for, if two sittings be required, the affairs of the world interfere, and everything like totality is at once destroyed."
"('1569', 'None')",1569
"('diesel-powered', 'adjective')",diesel-powered
"('magnetism', 'noun')","Mediums [...] should also realise that it is essential to lead a particularly abstinent life, and to conserve their magnetism."
"('community-based', 'adjective')",community-based
"('foxy', 'adjective')",His eye for colour was so exquisite that I do not think there is a single instance in all his works of a heated tint which is called foxy. This cannot be said of Rubens or Rembrandt  […]
"('traverse', 'verb')",He will have to traverse the mountain to get to the other side.
"('westland', 'noun')",The Gray Clan held the longest range from two snowcaps east of Solstice Mountain to the shallow foothills midway into the westlands.
"('quickly', 'adverb')","Another Karadeniz cross led to Cudicini's first save of the night, with the Spurs keeper making up for a weak punch by brilliantly pushing away Christian Noboa's snap-shot.Two more top-class stops followed quickly afterwards, first from Natcho's rasping shot which was heading into the top corner, and then to deny Ryazantsev at his near post."
"('trapp', 'None')",trapp
"('minefield', 'noun')",Political minefield awaits Prayut government including threat from an old foe
"('microscopical', 'adjective')",I have observed in green Wood all those long Microscopical pores which appear in Charcoal perfectly empty of any thing but Air.
"('highly-born', 'adjective')",highly-born
"('societes', 'None')",societes
"('trumpet', 'verb')","The music trumpeted from the speakers, hurting my ears."
"('signal', 'noun')",All obeyed / The wonted signal and superior voice / Of this great potentate.
"('rustle', 'verb')","The next day at three o'clock we were again at the door, and the footmen as before; we heard the silk dress rustle, and the lady came down the steps and in an imperious voice, she said, ""York, you must put those horses' heads higher, they are not fit to be seen."""
"('blast', 'noun')","And see where surly Winter passes off, / Far to the north, and calls his ruffian blasts; / His blasts obey, and quit the howling hill."
"('bonus', 'noun')",Private-equity nabobs bristle at being dubbed mere financiers. […] Much of their pleading is public-relations bluster. Clever financial ploys are what have made billionaires of the industry’s veterans. “Operational improvement” in a portfolio company has often meant little more than promising colossal bonuses to sitting chief executives if they meet ambitious growth targets. That model is still prevalent today.
"('tempting', 'adjective')",It is tempting to speculate about the incentives or compulsions that might explain why anyone would take to the skies in [the] basket [of a balloon]: perhaps out of a desire to escape the gravity of this world or to get a preview of the next; […].
"('rating', 'noun')",They have a poor credit rating.
"('ele', 'None')",ele
"('study', 'noun')",The study of languages is fascinating.
"('whole', 'noun')","Synonyms: entireness, totality; see also Thesaurus:entirety"
"('domestic', 'adjective')","“Dan’s not as domestic as you,"" I commented rather nastily."
"('lighthouse', 'noun')",lighthouse
"('handle', 'verb')","Happy, ye leaves! when as those lilly hands [...] Shall handle you."
"('odour', 'noun')","So after learning a great deal about iron founding and much more about pike fishing, one regretfully took leave of a shop full of kindly characters and proceeded to a worse lot of odours in the brass foundry."
"('spy', 'noun')","Synonyms:  espy, intelligencer; see also Thesaurus:spy"
"('bribery', 'noun')",bribery
"('jeans', 'noun')",Traditionally most jeans are dyed dark blue.
"('talk', 'noun')",All this was extraordinarily distasteful to Churchill. […] Never before had he felt such repulsion when the vicar displayed his characteristic bluntness or coarseness of speech. In the present connection—or rather as a transition from the subject that started their conversation—such talk had been distressingly out of place.
"('numerous', 'adjective')","Numerous experimental tests and other observations have been offered in favor of animal mind reading, and although many scientists are skeptical, others assert that humans are not the only species capable of representing what others do and don’t perceive and know."
"('inland', 'adjective')",an inland town
"('riverside', 'noun')",Gonna lay down my burden; Down by the riverside...
"('independent', 'noun')","It’s a great hub for shopping: the high street is pedestrianised and many of the town’s 600-odd listed buildings house fabulous independents – speciality food stores, cafes, antique shops, clothing boutiques."
"('clapham', 'None')",clapham
"('fait', 'noun')",fait
"('lyn', 'None')",lyn
"('karen', 'None')",karen
"('stay', 'verb')","Lord Mayor of London. See, where he stands between two clergymen!Duke of Buckingham. Two props of virtue for a Christian prince,To stay him from the fall of vanity:"
"('£100,000', 'noun')","£100,000"
"('ticklish', 'adjective')",She is ticklish only on her tummy and the bottoms of her feet.
"('kingdom', 'noun')",the kingdom of thought
"('tease', 'verb')","The difference between teasing and taunting is like the difference between kissing and spitting. The ingredients are the same; it is the emotion that determines whether it is pleasing or repellent.... Proper teasing says, in effect, ""I know all your little oddities and faults, but as they are part of what makes you special, I find them charming."" Taunting, in contrast, makes only the harsh statement, ""I have noticed what is wrong with you."""
"('rough', 'verb')","Rough in the shape first, then polish the details."
"('intolerably', 'adverb')",intolerably
"('african', 'adjective')",african
"('dei', 'None')",dei
"('moon', 'noun')",The stargazer observed the moons of Jupiter for over a year.
"('faithful', 'adjective')",My dog is very faithful: he doesn't like to be petted by anybody else.
"('mince', 'noun')",Mince tastes really good fried in a pan with some chopped onion and tomato.
"('politicized', 'adjective')",politicized
"('formulate', 'verb')","The Assembly then formulated its demands, which were thirty in number, including the removal of all Huguenot temples built near churches"
"('koenig', 'None')",koenig
"('purpose', 'verb')",Soo was Alysander purposed to ryde to london by the coūceille of sire Tristram to syre Launcelot /
"('intentionality', 'noun')",The naturalization of intentionality is an ongoing project in philosophy.
"('rebuff', 'verb')","The plaque  doesn't tell you that Leonard [Woolf] had initially been rebuffed. His intended proposal was refused by Virginia [Woolf to be], who then had a change of heart."
"('absent-minded', 'adjective')",It took the absent-minded man twenty minutes to find his glasses on top of his head.
"('agreement', 'noun')",Coordinate term: conspiracy
"('dump', 'verb')","The dawn of the oil age was fairly recent. Although the stuff was used to waterproof boats in the Middle East 6,000 years ago, extracting it in earnest began only in 1859 after an oil strike in Pennsylvania. […] It was used to make kerosene, the main fuel for artificial lighting after overfishing led to a shortage of whale blubber. Other liquids produced in the refining process, too unstable or smoky for lamplight, were burned or dumped."
"('1990d', 'noun')",1990d
"('châlons', 'None')",châlons
"('modernized', 'adjective')",modernized
"('kevin', 'None')",kevin
"('win', 'verb')",For and we doo bataille we two wyl fyghte with one knyȝt at ones  and therfore yf ye wille fyghte ſoo we wille be redy at what houre ye wille aſſigne  And yf ye wynne vs in bataille the lady ſhal haue her landes ageyne  ye ſay wel ſayd ſir Vwayne  therfor make yow redy ſo that ye be here to morne in the defence of the ladyes ryght
"('liquid', 'noun')","Coordinate terms: solid, gas"
"('amiel', 'None')",amiel
"('wha', 'None')",wha
"('pawn', 'verb')","A certain, and probably an appreciable, proportion of his so-called money at call and short notice would consist of fortnightly advances made to members of the Stock Exchange against pawned stocks and shares."
"('petersburg', 'None')",petersburg
"('espresso', 'None')",espresso
"('vein', 'noun')","An vncouth paine torments my grieued ſoule,And death arreſts the organe of my voyce.Who entring at the breach thy ſword hath made,Sackes euery vaine and artier of my heart,  […]"
"('deep-set', 'noun')",deep-set
"('foolproof', 'adjective')",foolproof
"('unused', 'adjective')",I have two unused vouchers for a free meal.
"('lancia', 'None')",lancia
"('spread', 'verb')",He spread his newspaper on the table.
"('glance', 'noun')","Fie, fie, vnknit that thretaning vnkinde brovv, / And dart not ſcornefull glances from thoſe eies, / To vvound thy Lord, thy King, thy Gouernour."
"('botorok', 'None')",botorok
"('glass', 'noun')",The tabletop is made of glass.
"('extraordinary', 'adjective')",Everybody knew I was an extraordinary person. When I was born my beard was three feet long.
"('sweat', 'verb')",Synonym: perspire
"('razor', 'noun')","Occam's razor, Hanlon's razor"
"('non-delinquent', 'noun')",non-delinquent
"('unpinned', 'adjective')","If unpinned specimens are to be softened for mounting, they can be placed on a small dish or bit of plastic so they do not become too wet."
"('acquisition', 'noun')",The acquisition of sports equipment can be fun in itself.
"('squelch', 'verb')",Synonym: quash
"('ye', 'None')",ye
"('clear', 'verb')",Police took two hours to clear the road.
"('zealander', 'noun')",zealander
"('surrender', 'noun')",surrender
"('symposium', 'noun')",THE CONCISE ENCYCLOPAEDIA OF WORLD RAILWAY LOCOMOTIVES. Edited by P. Ransome-Wallis. Hutchinson. 50s. [...] The work is a symposium by writers who are mostly specialists in the topics about which they write.
"('intersperse', 'verb')","For example, a commercial sequence might intersperse pictures of a senator working in his office with shots of ordinary Americans happily working in various walks of life."
"('happening', 'noun')",happening
"('arbitration', 'noun')",arbitration
"('relative', 'adjective')","For Liverpool, their season will now be regarded as a relative disappointment after failure to add the FA Cup to the Carling Cup and not mounting a challenge to reach the Champions League places."
"('where', 'None')",where
"('emotionally', 'adverb')","Few concepts are as emotionally charged as that of race. The word conjures up a mixture of associations—culture, ethnicity, genetics, subjugation, exclusion and persecution. But is the tragic history of efforts to define groups of people by race really a matter of the misuse of science, the abuse of a valid biological concept?"
"('publicly', 'adverb')",criticize someone publicly
"('restricted', 'adjective')",restricted area
"('goggle-eyed', 'adjective')","[…]  now and then we met a goggle-eyed pilgrim trudging along, and staring about him as if he waited only for night and opportunity to have additional reasons for hurrying to Jerusalem."
"('community-wide', 'adjective')",community-wide
"('obstruction', 'noun')","Synonyms: obstacle, impediment, hindrance"
"('south-eastern', 'adjective')",south-eastern
"('scrum-half', 'noun')",scrum-half
"('terrorist', 'noun')","Hooooly shit! That is terrible, because , he is not a terrorist, and , I do hope we have a better strategy for dealing with terrorists than flagging their credit reports and denying them their dream apartments! Hey, not in America! Not in America!"
"('855p', 'noun')",855p
"('defect', 'noun')",a defect in the ear or eye; a defect in timber or iron; a defect of memory or judgment
"('sock', 'noun')",Synonym: mitten
"('surrogate', 'noun')",Synonyms: see Thesaurus:substitute
"('unremarkable', 'adjective')","Synonyms: nondescript, commonplace, jejune, mundane, ordinary"
"('pay', 'noun')",Many employers have rules designed to keep employees from comparing their pays.
"('affectionately', 'adverb')","Catherine is affectionately known as ""Kit Kat"" to her friends."
"('as soon as', 'None')",as soon as
"('unemployment', 'noun')",Unemployment made Jack depressed.
"('harmonization', 'noun')",harmonization
"('130', 'None')",130
"('contrast', 'verb')",Foreground and background strongly contrast.
"('ugh', 'None')",ugh
"('ration', 'noun')","The corn ration was drastically reduced, and it was announced that an extra potato ration would be issued to make up for it."
"('predicted', 'adjective')",predicted
"('fortnight', 'noun')","On being kicked the girl fell desperately in love with Henri, and for a fortnight they lived together and spent a thousand francs of Henri's money."
"('national', 'adjective')","‘Come, come, don't deny it: they are really national. Why, now, the Adams are as liberal-minded men as any in the world: but, I don't know how it is, all their workmen are Scotch.’"
"('extremism', 'noun')",extremism
"('revolving', 'adjective')",revolving
"('misinformation', 'noun')","Coordinate terms: disinformation, malinformation"
"('madness', 'noun')",Synonyms: see Thesaurus:insanity
"('disappointed', 'adjective')","After all his anticipation, the trip left him deeply disappointed."
"('finality', 'noun')","The finality of my father's death suddenly hit me: there would be no more bedtime stories, no more games of catch in the back yard."
"('grain-growing', 'adjective')",grain-growing
"('dialectical', 'adjective')",dialectical
"('attack', 'verb')",This species of snake will only attack humans if it feels threatened.
"('elevated', 'adjective')",the elevated language of poetry
"('archaeopteryx', 'None')",archaeopteryx
"('911s', 'None')",911s
"('hampshire', 'None')",hampshire
"('circumstance', 'noun')","The report should focus on to the current circumstances of the organisation, to help us find a way to grow in the future."
"('relaxation', 'noun')",relaxation of the soft palate
"('milanese', 'adjective')",milanese
"('cd-rom', 'noun')",cd-rom
"('freudian', 'adjective')",freudian
"('flowerdew', 'None')",flowerdew
"('remarkable', 'adjective')","There is one argument commonly employ’d for the immateriality of the soul, which seems to me remarkable."
"('mb', 'noun')",mb
"('parental', 'adjective')","This, following Bateson, we may call the parental generation or P generation. Subsequent generations are called filial generations  and their numerical order is indicated by a subscript, [...]"
"('bra', 'noun')","Her housecoat had fallen open. She was wearing only panties and bra, which did nothing to make her scrawny, wrinkled body appealing."
"('a great deal', 'adverb')",a great deal
"('poison', 'verb')",The assassin poisoned the king.
"('patient', 'adjective')",Be patient: your friends will arrive in a few hours.
"('clip', 'verb')",Please clip the photos to the pages where they will go.
"('lichen', 'noun')","The Beaches of Lukannon–the winter wheat so tall, / The dripping, crinkled lichens, and the sea-fog drenching all!"
"('indignation', 'noun')",He protested in indignation.
"('desert', 'noun')","From the highest spire of contentment / my fortune is thrown; / and fear and grief and pain for my deserts / are my hopes, since hope is gone."
"('trl', 'None')",trl
"('tennessee', 'None')",tennessee
